Rol;Ölçüm Girişi / Geçmişi;Kalite Ticketları;Plastikhane Vardiya;Mekanizma Kontrol;İNO-1 / İNO-2;Kalıp Bağlama;Bağlanacak Kalıp;Teknik Resim Arama;Bağlama Dashboard;Üretim Ticketları;Kalıp Ticketları;Ürün / Teknik Resim;Kontrol Ölçüleri;SPC Dashboard;MSA Dashboard;Test Talepleri;Paket Sayaç Kontrolleri;Kullanıcı / Log / Güncelleme
Üretim Kullanıcısı;Erişim yok;Erişim yok;Salt okunur;Erişim yok;Erişim yok;Sınırlı - kendi aktif kayıtları;Sınırlı - bağlama var, aktarım yok;Erişim yok;Sınırlı - kendi kayıtları;Salt okunur;Salt okunur;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok
Üretim Etiket;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Salt okunur;Salt okunur - TR kodu ile aktif plastik teknik resmi;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok
Üretim Yöneticisi;Erişim yok;Salt okunur;Salt okunur;Erişim yok;Erişim yok;Tam;Tam;Salt okunur - TR kodu ile aktif plastik teknik resmi;Tam;Tam;Tam;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok
Kalite Kontrol Yöneticisi;Tam;Tam;Sınırlı - görüntüleme ve silme;Tam;Sınırlı - onay alanları;Erişim yok;Salt okunur;Salt okunur - TR kodu ile aktif plastik teknik resmi;Erişim yok;Tam;Tam;Erişim yok;Erişim yok;Salt okunur;Salt okunur;Tam;Sınırlı - kayıt ve sonuçlandırma, silme yok;Erişim yok
Giriş Kalite Kontrol;Sınırlı - sadece Giriş Kalite Kontrol Resmi;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Sınırlı - talep oluşturma;Erişim yok;Erişim yok
Mekanizma Kalite Kontrol;Erişim yok;Erişim yok;Salt okunur;Sınırlı - kontrol ve sonuçlandırma;Tam;Erişim yok;Salt okunur;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Sınırlı - talep oluşturma;Erişim yok;Erişim yok
Mekanizma Yöneticisi;Erişim yok;Erişim yok;Salt okunur;Salt okunur;Tam;Erişim yok;Salt okunur;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok
Plastikhane Kalite Kontrol;Tam;Tam;Sınırlı - ekleme ve düzenleme, silme yok;Tam;Erişim yok;Erişim yok;Salt okunur;Salt okunur - TR kodu ile aktif plastik teknik resmi;Erişim yok;Erişim yok;Tam;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Sınırlı - talep oluşturma;Erişim yok;Erişim yok
Kalite Laboratuvar;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Sınırlı - onay alanları;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Sınırlı - işleme alma ve sonuçlandırma;Sınırlı - kayıt ve sonuçlandırma, silme yok;Erişim yok
Teknik Resim;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Sınırlı - silme yok;Tam;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok
Planlama;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Salt okunur;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok;Erişim yok
Yönetici;Sınırlı - yalnızca ölçüm geçmişi;Salt okunur;Salt okunur;Salt okunur;Salt okunur;Erişim yok;Salt okunur;Erişim yok;Salt okunur - tüm kayıtlar;Salt okunur;Salt okunur;Salt okunur;Salt okunur;Salt okunur;Salt okunur;Erişim yok;Salt okunur;Erişim yok
Admin;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam;Tam
